Age,Annual_Income,Spending_Score,Monthly_Visits,Gender,Preferred_Product
56,26102,85,6,Female,Clothing
46,70336,75,18,Male,Home
32,105314,36,10,Male,Groceries
60,46641,99,5,Female,Electronics
25,54584,19,10,Male,Electronics
38,52745,20,12,Male,Electronics
56,43093,57,2,Male,Clothing
36,86105,18,13,Male,Sports
40,71885,47,8,Male,Home
28,56631,49,2,Female,Groceries
28,92991,14,1,Male,Groceries
41,24014,15,5,Male,Clothing
53,31093,31,9,Male,Electronics
57,38070,1,17,Male,Clothing
41,55777,54,9,Female,Sports
20,76958,3,11,Female,Sports
39,102074,16,15,Female,Home
19,30729,87,6,Female,Home
41,119713,57,3,Male,Sports
61,65017,75,17,Female,Sports
47,86320,12,5,Male,Sports
55,47751,74,12,Male,Clothing
19,98069,96,18,Male,Sports
38,74748,16,14,Male,Groceries
50,25801,72,11,Male,Electronics
29,39190,76,9,Female,Sports
39,69689,24,2,Female,Electronics
61,70993,28,12,Female,Clothing
42,49592,8,3,Female,Electronics
44,30647,92,3,Male,Clothing
59,28716,36,1,Female,Groceries
45,108891,90,8,Male,Clothing
33,107545,8,8,Female,Clothing
32,109912,58,11,Male,Home
64,90316,60,9,Male,Sports
61,22368,50,5,Female,Sports
20,97575,28,14,Male,Groceries
54,26655,92,3,Male,Groceries
24,90031,41,5,Female,Sports
38,96429,64,5,Male,Home
26,111083,27,19,Female,Sports
56,107922,63,14,Female,Home
35,75766,17,4,Female,Groceries
21,33403,73,13,Male,Electronics
42,52097,33,10,Male,Groceries
31,98657,84,18,Male,Groceries
26,30966,77,8,Female,Clothing
43,119157,92,8,Male,Clothing
19,113848,29,7,Female,Clothing
37,72921,13,8,Female,Clothing
45,69726,46,14,Male,Home
64,70300,35,19,Female,Sports
24,42677,6,6,Male,Electronics
61,75609,82,1,Male,Groceries
25,116825,69,15,Male,Home
64,76661,47,1,Male,Electronics
52,51024,25,17,Male,Home
31,90313,66,1,Female,Home
34,73006,10,15,Female,Groceries
53,115285,56,2,Female,Sports
57,35338,30,14,Male,Clothing
21,88027,5,8,Male,Sports
19,112772,33,8,Male,Groceries
23,100135,65,19,Female,Groceries
59,39508,18,7,Male,Groceries
21,23051,96,19,Female,Electronics
46,68747,49,6,Female,Sports
35,107142,11,6,Male,Sports
43,107235,85,3,Male,Home
61,74021,26,7,Female,Home
51,86412,63,19,Male,Home
27,78335,89,8,Female,Groceries
53,76179,86,10,Male,Sports
31,52093,59,15,Male,Groceries
48,89678,27,15,Female,Electronics
32,100738,49,1,Male,Home
25,59734,77,7,Female,Groceries
31,92615,33,4,Male,Groceries
40,93523,98,6,Female,Electronics
57,114476,99,1,Female,Clothing
38,37019,1,5,Male,Sports
33,103613,21,1,Female,Clothing
62,111794,55,4,Male,Home
35,106672,6,2,Male,Groceries
64,93847,92,10,Male,Electronics
41,102750,81,5,Female,Electronics
43,99634,69,10,Female,Sports
42,48251,95,1,Male,Clothing
62,45945,5,6,Male,Sports
58,110852,3,13,Female,Groceries
46,52217,53,15,Male,Sports
32,28308,23,4,Male,Electronics
62,25949,53,13,Female,Electronics
18,71990,37,15,Male,Home
42,21150,74,8,Female,Home
24,109480,74,5,Male,Groceries
26,94740,83,15,Female,Clothing
41,86617,17,4,Male,Sports
18,114841,85,12,Male,Groceries
61,36896,78,13,Female,Home
25,66175,73,2,Male,Sports
41,27805,1,19,Female,Home
28,25237,51,19,Male,Sports
34,40056,45,4,Female,Clothing
25,65543,77,4,Female,Groceries
52,76556,4,11,Female,Sports
52,23343,62,5,Female,Electronics
50,33500,65,11,Male,Electronics
22,73222,32,10,Male,Sports
59,49375,34,8,Female,Sports
56,29662,92,6,Female,Sports
58,36964,95,6,Female,Electronics
45,79638,72,8,Male,Electronics
24,93666,39,15,Male,Sports
26,105067,26,14,Male,Home
25,87215,34,11,Male,Home
29,89042,54,12,Female,Clothing
51,33284,3,13,Female,Groceries
50,92789,50,8,Female,Home
40,104664,12,18,Male,Electronics
41,113468,65,1,Male,Home
54,81389,54,15,Male,Clothing
52,29435,5,8,Female,Clothing
61,74340,94,11,Female,Groceries
57,64078,94,12,Male,Home
39,98832,57,12,Female,Electronics
44,71293,17,4,Male,Electronics
52,115981,47,16,Male,Sports
18,98781,23,4,Female,Electronics
52,80403,79,5,Male,Groceries
54,49124,85,5,Female,Groceries
64,115435,14,8,Male,Electronics
31,63919,66,10,Female,Electronics
20,55247,75,17,Female,Sports
18,114758,51,9,Female,Electronics
22,111747,38,19,Male,Sports
43,82752,64,14,Male,Sports
31,76573,98,8,Female,Electronics
56,79101,38,9,Female,Clothing
44,46646,50,11,Male,Clothing
26,43049,98,1,Male,Sports
32,99605,82,14,Male,Electronics
32,118116,30,5,Female,Clothing
43,117379,79,14,Male,Electronics
59,88385,91,4,Male,Electronics
30,60158,51,1,Female,Electronics
49,85417,63,19,Male,Home
56,43289,98,8,Male,Electronics
49,29823,52,15,Male,Home
21,80160,38,15,Female,Sports
47,61975,97,9,Female,Clothing
54,29540,88,9,Female,Clothing
40,36364,79,10,Female,Clothing
56,24611,30,9,Female,Clothing
62,47663,51,3,Female,Clothing
32,71991,81,11,Female,Clothing
60,77679,5,6,Male,Clothing
46,50977,29,2,Male,Sports
53,114704,4,7,Female,Electronics
30,69115,10,18,Male,Groceries
49,111007,56,2,Male,Home
24,108223,17,17,Female,Groceries
39,80890,74,11,Male,Groceries
45,86387,17,12,Male,Electronics
19,38071,84,19,Male,Electronics
59,79275,88,7,Male,Electronics
62,92369,69,6,Male,Clothing
23,31938,34,1,Female,Sports
45,55195,6,17,Female,Clothing
45,111680,53,11,Female,Sports
61,24000,66,18,Male,Sports
61,90588,77,17,Female,Groceries
37,113610,43,7,Male,Groceries
47,117856,75,17,Male,Sports
28,58304,23,9,Male,Sports
45,89449,55,17,Male,Clothing
42,102986,80,8,Female,Clothing
56,109643,95,17,Female,Groceries
50,40764,75,7,Male,Electronics
18,106027,16,1,Female,Sports
44,58494,8,13,Male,Clothing
30,23373,4,19,Female,Groceries
58,32161,4,19,Female,Clothing
20,117532,56,17,Male,Sports
56,112658,25,13,Female,Sports
23,47350,67,16,Male,Home
25,113008,96,8,Female,Electronics
44,114297,67,19,Male,Home
26,45351,27,18,Male,Groceries
54,108668,93,1,Female,Clothing
50,35305,32,14,Female,Groceries
59,95353,50,19,Male,Sports
61,96797,61,15,Female,Home
41,85953,51,18,Female,Home
32,77458,19,2,Male,Home
49,40358,21,17,Male,Groceries
49,23267,5,18,Female,Sports
41,102745,82,6,Male,Clothing
58,109588,92,19,Male,Clothing
29,58513,42,4,Male,Groceries
56,46092,61,1,Female,Home
19,31338,22,8,Female,Electronics
20,20412,21,7,Male,Groceries
54,27543,70,3,Female,Groceries
34,53496,1,10,Male,Sports
19,80692,5,10,Female,Clothing
19,109084,12,19,Male,Groceries
45,112920,90,14,Male,Groceries
40,64425,46,2,Female,Home
54,58756,34,1,Male,Home
49,38888,49,18,Female,Electronics
50,55735,78,7,Female,Sports
18,67295,90,8,Male,Electronics
36,103042,45,1,Male,Home
19,105999,27,3,Female,Clothing
61,37955,73,8,Male,Home
43,57841,26,15,Male,Sports
49,90640,47,5,Male,Home
23,85510,86,3,Male,Sports
49,54911,56,19,Male,Sports
21,79031,94,1,Female,Sports
28,108726,63,15,Female,Sports
34,27357,48,8,Male,Sports
55,52479,61,2,Male,Clothing
41,81476,81,3,Male,Electronics
22,64811,26,14,Female,Groceries
51,56208,36,14,Male,Electronics
23,40150,1,11,Female,Sports
39,91180,8,16,Female,Clothing
28,63286,99,4,Female,Home
33,88450,52,5,Male,Clothing
50,41352,79,14,Female,Sports
26,75069,47,16,Male,Clothing
23,34397,56,18,Female,Clothing
33,61555,86,7,Male,Sports
46,66959,14,10,Female,Clothing
20,20728,90,7,Male,Groceries
37,70517,28,1,Female,Groceries
53,86234,87,19,Male,Clothing
36,59954,78,16,Male,Home
43,67280,88,19,Male,Sports
20,99459,2,4,Male,Groceries
36,36779,26,18,Female,Home
37,83932,14,2,Female,Clothing
49,92936,59,1,Male,Home
24,44466,56,15,Female,Electronics
58,56939,7,5,Male,Groceries
50,89896,3,11,Male,Clothing
57,55270,23,10,Female,Sports
56,79163,18,2,Male,Clothing
35,102637,38,3,Male,Sports
57,71934,99,12,Female,Clothing
18,84895,15,5,Male,Home
28,52307,64,5,Male,Home
45,74098,89,6,Male,Home
42,80921,28,9,Male,Electronics
40,25486,74,2,Female,Sports
48,28335,39,12,Female,Home
47,106900,57,3,Female,Electronics
59,109112,17,12,Male,Sports
52,117203,86,17,Male,Clothing
24,31130,90,10,Female,Electronics
33,107508,44,14,Male,Groceries
43,80566,25,17,Male,Electronics
19,86703,17,18,Male,Electronics
18,47192,13,19,Male,Sports
29,21062,84,17,Female,Clothing
22,104076,25,14,Female,Groceries
54,109780,68,9,Female,Home
49,41545,10,8,Male,Home
26,41689,67,2,Female,Electronics
58,31174,18,13,Female,Sports
52,108461,86,7,Male,Sports
36,29348,34,9,Male,Home
33,43714,8,11,Female,Groceries
20,58102,40,14,Female,Clothing
37,94460,83,4,Female,Groceries
41,109930,42,13,Female,Clothing
50,26801,41,2,Male,Home
41,92267,6,5,Female,Clothing
28,68136,52,11,Female,Sports
25,43625,26,6,Male,Electronics
53,102873,64,18,Female,Electronics
55,92592,98,10,Male,Home
57,97052,59,4,Male,Sports
37,64261,56,9,Male,Groceries
52,21542,59,6,Female,Sports
42,41677,70,2,Female,Electronics
52,66732,33,17,Male,Electronics
42,70343,53,5,Female,Sports
46,59081,22,6,Female,Sports
35,82856,21,12,Male,Electronics
63,113105,70,10,Male,Groceries
35,108858,70,6,Female,Home
19,39065,4,8,Male,Home
52,103460,94,2,Female,Sports
33,108092,75,12,Female,Home
58,74693,62,13,Female,Electronics
53,46962,62,7,Female,Electronics
50,48295,94,10,Male,Sports
21,33807,95,13,Male,Sports
50,62348,24,17,Male,Sports
31,46432,55,14,Male,Groceries
38,103285,9,2,Female,Home
37,111792,3,11,Female,Sports
25,77854,31,1,Male,Clothing
24,60262,40,19,Female,Clothing
20,57080,36,4,Female,Electronics
34,21324,24,19,Female,Home
50,111267,95,11,Male,Sports
29,55909,6,8,Male,Clothing
39,109339,66,11,Male,Home
39,39870,84,4,Female,Electronics
63,54578,92,17,Male,Groceries
47,92124,75,7,Male,Home
55,46790,4,8,Male,Home
55,45289,79,3,Male,Groceries
62,75129,6,2,Male,Home
25,113714,94,15,Male,Electronics
44,114246,51,5,Female,Electronics
44,35485,62,1,Female,Groceries
51,64482,57,4,Male,Sports
38,106188,66,15,Male,Clothing
47,24748,79,19,Female,Sports
50,106769,75,3,Female,Home
45,29435,8,11,Male,Clothing
64,23709,26,17,Male,Groceries
50,50355,51,13,Male,Groceries
22,75771,45,11,Male,Clothing
36,77799,44,2,Female,Electronics
21,33116,5,9,Male,Clothing
52,45470,70,2,Male,Home
34,62344,26,9,Male,Electronics
61,62918,68,9,Male,Groceries
45,72224,19,8,Female,Clothing
47,59298,84,17,Female,Sports
46,100219,97,1,Female,Sports
63,81629,20,11,Male,Home
23,86040,12,8,Male,Sports
52,119518,47,10,Female,Clothing
58,119835,1,7,Male,Clothing
54,48016,90,3,Male,Sports
41,43960,14,3,Female,Clothing
46,53591,64,18,Female,Home
63,102848,38,5,Female,Electronics
48,87641,37,12,Female,Home
52,56395,11,12,Male,Home
50,42700,77,19,Male,Clothing
38,54620,3,6,Female,Electronics
49,40559,33,2,Male,Clothing
